,Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
10,Aldi,Pineapple,$2.19,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e06da388-57de-4e8e-a589-2fbc1c372f6d.jpg,"
11,Aldi,"Honeycrisp Apples, Bag",$3.65,,,2 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c159aee7-063d-4fc6-9770-027a41a2ecc5.jpg,"
12,Aldi,Organic Bananas,$0.29,each (est.),$0.75 / lb,About 0.39 lb each,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fda8c08e-6870-4b50-9835-d9f800d60800.jpg,"
13,Aldi,Organic Strawberries Package,$4.95,,,1 lb container,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bb3ffd84-5952-4a7b-af83-1dc1c3d14238.jpg,"
14,Aldi,Cotton Candy Grapes,$4.75,,,1 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b225a547-6601-4a49-8e28-0cb3efc5aa7f.jpg,"
15,Aldi,Gala Apple Bag,$2.19,,,3 lb bag,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6dbf93f9-1a50-4936-a576-11d6532cf3e1.jpg,"
16,Aldi,Honeycrisp Apple,$0.76,each (est.),$1.89 / lb,About 0.4 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eb1142eb-18dd-4abd-9462-b51330880a2c.jpg,"
17,Aldi,"Red Cherries, Bag",$3.87,each (est.),$3.49 / lb,About 1.11 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c1b87bbe-827d-4dbd-930f-6b2a4e576a6b.jpg,"
18,Aldi,Driscoll's Rainbow Pack Berries,$4.95,,,7 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d9fc3a4e-b7d0-47dd-aaf9-d0adc79752cd.jpg,"
19,Aldi,"Cara Cara Oranges, Bag",$4.95,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_566607f3-1c60-41b3-9429-6af84e2eb2ea.jpg,"
20,Aldi,"Organic Farms Organic Blueberries, Package",$3.29,,,6 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e4cb0c7a-92e1-4ea9-8a3b-c2216b013ed1.jpg,"
21,Aldi,Pink Lady (Cripps) Apple Bag,$3.95,,,3 lb bag,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a8d53b92-0250-4c76-9fb6-089c3804a869.jpg,"
22,Aldi,Green Grapes,$4.27,/pkg (est.),$2.19 / lb,About 1.95 lb / package,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9fc08a5e-767f-4e46-a027-b1cf613dc323.jpg,"
23,Aldi,Fuji Apple Bag,$3.65,,,3 lb bag,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9fc2e655-41a4-4da0-9e5f-153fd118a854.jpg,"
24,Aldi,Envy Apple,$1.10,each (est.),$1.89 / lb,About 0.58 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_17a6528f-3e5b-44e8-8ce1-297f3fa78085.jpg,"
25,Aldi,Cosmic Crisp Premium Apples,$3.85,,,2 lb bag,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d68767ea-1863-440c-87fc-872260a92bce.jpg,"
26,Aldi,Simply Nature Organic Strawberries,$6.59,,,24 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
27,Aldi,Organic Gala Apple Bag,$4.95,,,3 lb bag,"['Non-GMO', 'Organic']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6b57cc78-0ed8-447c-ae60-bc69c0eb783c.jpg,"
28,Aldi,Green Kiwi Package,$4.75,,,2 lb container,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3bf3148a-8927-4bc4-a16a-38e9aa3312f5.jpg,"
29,Aldi,Sunkist Navel Oranges,$4.95,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b3dca2b5-e275-4b58-8593-118849fd2535.png,"
30,Aldi,Granny Smith Apples,$3.85,,,per lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_49aa1438-4fcf-42b9-9079-f0d2f84b6d3b.jpg,"
31,Aldi,"Bartlett Pears, Bag",$4.39,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fcf94c41-7933-4483-bdf2-770a985b1268.jpg,"
32,Aldi,Red Delicious Apple Bag,$3.29,,,3 lb bag,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bd2f2d2d-da18-4c32-b0d0-e0804065783d.jpg,"
33,Aldi,Simply Nature Organic Blueberries,$6.59,,,10 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f76a5d60-2388-45ff-8a68-93a563bf0a8e.jpg,"
34,Aldi,"Grapefruit, Bag",$4.39,,,5 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_45899cf1-642a-439b-9441-69c06d1b3982.jpg,"
35,Aldi,Mini Watermelon,$4.65,,,,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dd761f4e-1b31-417f-bba3-11322e7a8de5.jpg,"
36,Aldi,"Organic Pears, Bag",$4.39,,,2 lb,['Non-GMO'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a90ade67-0677-4a88-8283-c0e4b1ec321e.jpg,"
37,Aldi,Michigan Apples Bag,$3.29,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_87d97a9f-bb00-48dc-bc25-2dec574fd3c8.jpg,"
38,Aldi,Nature's Promise Organic Apples Pink Lady,$5.19,,,3 lb,"['Non-GMO', 'Organic']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_51e4e2fc-433b-4c6f-b0d2-3fcc08053587.jpg,"
39,Aldi,Specially Selected Perfect Pairing Grapes,$8.79,,,3 lb,[],Likely out of stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d96d3b2a-5a22-473f-80ce-b6441e7a9b7e.jpg,"
